cik,gics_sector,year,E_score,G_score
0000277948,Industrials,2023,0.19688976723759335,0.13484848484848486
0000277948,Industrials,2024,0.12549719122739514,0.20442477876106196
0000277948,Industrials,2025,,
0000310158,Health Care,2015,0.040759185266786555,0.11644170540176374
0000310158,Health Care,2016,0.034423288987013655,0.07016706288185103
0000310158,Health Care,2017,0.03611604825016167,0.07698935495851386
0000310158,Health Care,2018,0.0440165841701402,0.07903163760413943
0000310158,Health Care,2019,0.048865808127791927,0.0883396645437526
0000310158,Health Care,2020,0.03974364197555043,0.08469171056909294
0000310158,Health Care,2021,0.02810061588737862,0.09551744435402823
0000310158,Health Care,2022,0.12512053744686602,0.13885870461361044
0000310158,Health Care,2023,0.1321118835413851,0.15412314984282402
0000310158,Health Care,2024,0.17947999171941054,0.17387251635347123
0000310158,Health Care,2025,,
0000310764,Health Care,2015,0.005441176470588235,0.263429026761846
0000310764,Health Care,2016,0.005060398302317989,0.2531289154929369
0000310764,Health Care,2017,0.005160883280757098,0.2681972977552989
0000310764,Health Care,2018,0.018124265021686216,0.24301149231296895
0000310764,Health Care,2019,0.020389221980593147,0.27089521251130566
0000310764,Health Care,2020,0.026080297610888648,0.2808728756147736
0000310764,Health Care,2021,0.019705874692851254,0.2776594162929567
0000310764,Health Care,2022,0.056274601128646164,0.3360396702467476
0000310764,Health Care,2023,0.052811277156667245,0.3414171135647179
0000310764,Health Care,2024,0.05242370276258642,0.33614657268162773
0000310764,Health Care,2025,,
0000313616,Health Care,2015,0.06319126984446528,0.15001704453185918
0000313616,Health Care,2016,0.06781058945692375,0.14728834017792328
0000313616,Health Care,2017,0.06487858898879545,0.14261194288773163
0000313616,Health Care,2018,0.06293500871764435,0.1354169942137311
0000313616,Health Care,2019,0.05849895553012506,0.15407106454521557
0000313616,Health Care,2020,0.047596685426154445,0.1604435830573625
0000313616,Health Care,2021,0.04345091311745308,0.15133132187769172
0000313616,Health Care,2022,0.06966012518639322,0.18445111281060833
0000313616,Health Care,2023,0.07861759263728456,0.2116418477317478
0000313616,Health Care,2024,0.06144052957510714,0.2154777917586892
0000313616,Health Care,2025,,
0000313927,Consumer Staples,2015,0.07905167288265569,0.09757568153919471
0000313927,Consumer Staples,2016,0.07722666941844347,0.09796825709013837
0000313927,Consumer Staples,2017,0.06967422434934321,0.10416376907561535
0000313927,Consumer Staples,2018,0.07816213159627362,0.1218579720847627
0000313927,Consumer Staples,2019,0.12312692825365681,0.14946832003055627
0000313927,Consumer Staples,2020,0.14285162556776065,0.2298198128088251
0000313927,Consumer Staples,2021,0.12269813705769647,0.21785418368366313
0000313927,Consumer Staples,2022,0.16140771324856185,0.27476802935019373
0000313927,Consumer Staples,2023,0.15631531573774962,0.2906584526458159
0000313927,Consumer Staples,2024,0.1668015862015787,0.3111192653520923
0000313927,Consumer Staples,2025,,
0000315189,Industrials,2015,0.10624621188557005,0.1655774669250803
0000315189,Industrials,2016,0.0903139174024253,0.17360344533059138
0000315189,Industrials,2017,0.08523968427924529,0.172695489386497
0000315189,Industrials,2018,0.09246964449404696,0.15702220122081895
0000315189,Industrials,2019,0.10040315873335492,0.1534214095106641
0000315189,Industrials,2020,0.09070522421252747,0.16804498363498957
0000315189,Industrials,2021,0.0782421221644969,0.1546608299671932
0000315189,Industrials,2022,0.1039854064042614,0.1924281954071851
0000315189,Industrials,2023,0.1772174599069783,0.24155691899389603
0000315189,Industrials,2024,0.14413893467649924,0.2694626152089415
0000315293,Financials,2015,0.0,0.18267149349652617
0000315293,Financials,2016,0.0,0.19435149122298542
0000315293,Financials,2017,0.0,0.1888481812780777
0000315293,Financials,2018,0.0,0.20378391463036352
0000315293,Financials,2019,0.0013726657242764675,0.1986017437315697
0000315293,Financials,2020,0.001324394529757812,0.2077728107500909
0000315293,Financials,2021,0.0009886178861788616,0.17441758241758243
0000315293,Financials,2022,0.013491607087348461,0.199124897568856
0000315293,Financials,2023,0.015242511783487914,0.19638649005249467
0000315293,Financials,2024,0.014434132508378448,0.18302602184033592
0000315293,Financials,2025,,
0000316709,Financials,2015,0.0,0.27527455958414354
0000316709,Financials,2016,0.0,0.23019704154649762
0000316709,Financials,2017,0.0,0.24179235563150225
0000316709,Financials,2018,0.0,0.22488621057816385
0000316709,Financials,2019,0.0,0.20804301496799438
0000316709,Financials,2020,0.0,0.1761499464840589
0000316709,Financials,2021,0.0,0.1340119371360649
0000316709,Financials,2022,0.007197303844702352,0.15498999207963027
0000316709,Financials,2023,0.007661108432352605,0.16782828105314426
0000316709,Financials,2024,0.015787838578004598,0.17571024935542306
0000316709,Financials,2025,,
0000318154,Health Care,2015,0.0077126579361673645,0.17947627714121583
0000318154,Health Care,2016,0.004388448471121178,0.16269429847214784
0000318154,Health Care,2017,0.004307152259763055,0.17367436962729438
0000318154,Health Care,2018,0.0038506808216016617,0.15965069077614752
0000318154,Health Care,2019,0.00773059719770778,0.13669463256848274
0000318154,Health Care,2020,0.007143068946887209,0.16122658133156012
0000318154,Health Care,2021,0.005021108825269311,0.1277901125268776
0000318154,Health Care,2022,0.013651611491732772,0.14004026312597886
0000318154,Health Care,2023,0.023913880064072284,0.13883522766927447
0000318154,Health Care,2024,0.02316573655315889,0.1400109121473173
0000318154,Health Care,2025,,
0000319201,Information Technology,2015,0.03223237965885433,0.14514473870824365
0000319201,Information Technology,2016,0.03062780496876623,0.14499083046553873
0000319201,Information Technology,2017,0.03260551941608011,0.14845820748375183
0000319201,Information Technology,2018,0.03373107636855381,0.13330928827155447
0000319201,Information Technology,2019,0.040803456439281446,0.14268560906895425
0000319201,Information Technology,2020,0.03795995394942245,0.13845205633226695
0000319201,Information Technology,2021,0.031054766754049765,0.14255086960208474
0000319201,Information Technology,2022,0.06367679366615135,0.23941406413674654
0000319201,Information Technology,2023,0.0979772530236165,0.27157915412368216
0000319201,Information Technology,2024,0.11538229970038184,0.26720665875300853
0000319201,Information Technology,2025,,
0000320187,Consumer Discretionary,2015,0.023084841891956302,0.22407104163604538
0000320187,Consumer Discretionary,2016,0.02241135487387912,0.1946570571368918
0000320187,Consumer Discretionary,2017,0.023000580202308638,0.18533384411402057
0000320187,Consumer Discretionary,2018,0.025172684289970597,0.21561189104398099
0000320187,Consumer Discretionary,2019,0.029746644339775936,0.21865921105250238
0000320187,Consumer Discretionary,2020,0.031239820626482114,0.19908051214338207
0000320187,Consumer Discretionary,2021,0.025238476354524166,0.176951062971374
0000320187,Consumer Discretionary,2022,0.05711557039036825,0.2194845419291076
0000320187,Consumer Discretionary,2023,0.06020122224838786,0.2314044464122564
0000320187,Consumer Discretionary,2024,0.06116660132762244,0.2317809343103004
0000320187,Consumer Discretionary,2025,,
0000320193,Information Technology,2015,0.007736154324828872,0.129451793167737
0000320193,Information Technology,2016,0.007909172088276566,0.13028759613954444
0000320193,Information Technology,2017,0.008243890148652054,0.14355600089067022
0000320193,Information Technology,2018,0.010119480834546335,0.12788150556004385
0000320193,Information Technology,2019,0.009015392132909845,0.17393893948414166
0000320193,Information Technology,2020,0.007629002090438992,0.1458089786525711
0000320193,Information Technology,2021,0.015306866171069786,0.1478838995842262
0000320193,Information Technology,2022,0.03806545464159114,0.15733246277179228
0000320193,Information Technology,2023,0.0386981248378915,0.16181880113786534
0000320193,Information Technology,2024,0.03855671692823252,0.17125753910984867
0000320335,Financials,2020,0.007759623992837959,0.05708955223880596
0000320335,Financials,2021,0.0052054794520547945,0.040213876692094454
0000320335,Financials,2022,0.09163611171340783,0.06310467799454583
0000320335,Financials,2023,0.0822493103543346,0.07694304677291065
0000320335,Financials,2024,0.07312104321174566,0.07686010806845757
0000320335,Financials,2025,,
0000352541,Utilities,2015,0.401956368935179,0.06492628803074722
0000352541,Utilities,2016,0.38754902634628463,0.06494856445093526
0000352541,Utilities,2017,0.43955452354530566,0.07662562516203208
0000352541,Utilities,2018,0.40041243887065575,0.055855144283364855
0000352541,Utilities,2019,0.5218711737617036,0.07448206075459124
0000352541,Utilities,2020,0.4870754195270331,0.06970221337375258
0000352541,Utilities,2021,0.4033930891677089,0.08000556263334009
0000352541,Utilities,2022,0.5147144054899528,0.09323038497308571
0000352541,Utilities,2023,0.5733138020978985,0.0960073929822599
0000352541,Utilities,2024,0.635921595752424,0.07997960927432536
0000352541,Utilities,2025,,
0000352915,Health Care,2015,0.013189927921182239,0.39290423357526194
0000352915,Health Care,2016,0.012983403717208415,0.3804001594872968
0000352915,Health Care,2017,0.016436766957688642,0.3788357102208883
0000352915,Health Care,2018,0.016834442269924053,0.36095154481225306
0000352915,Health Care,2019,0.01822636004258625,0.3558985052828896
0000352915,Health Care,2020,0.019715583627807166,0.34351233113792606
0000352915,Health Care,2021,0.014609032522645074,0.27704101755324567
0000352915,Health Care,2022,0.028531408337691497,0.33411827283311124
0000352915,Health Care,2023,0.02728626884501023,0.3640586896196728
0000352915,Health Care,2024,0.07966956006465192,0.3510239685621974
0000352915,Health Care,2025,,
0000354190,Financials,2015,0.09264150631351761,0.2941881261687597
0000354190,Financials,2016,0.08792315589042986,0.2647797154041146
0000354190,Financials,2017,0.08461640248471981,0.261877352644254
0000354190,Financials,2018,0.08866107514776245,0.1999541232761047
0000354190,Financials,2019,0.1017483155918944,0.19696121285896087
0000354190,Financials,2020,0.10456377161994668,0.1946515543248957
0000354190,Financials,2021,0.10045499315879428,0.19777607835368807
0000354190,Financials,2022,0.1054103805013093,0.23321772470512483
0000354190,Financials,2023,0.12309578901137667,0.2689368810762652
0000354190,Financials,2024,0.1304439903730055,0.3168029063122032
0000354190,Financials,2025,,
0000354950,Consumer Discretionary,2015,0.1460059313131484,0.16164861246892592
0000354950,Consumer Discretionary,2016,0.14988853994138693,0.12918616090795104
0000354950,Consumer Discretionary,2017,0.16630636828836914,0.1237168836430445
0000354950,Consumer Discretionary,2018,0.16109948672017635,0.1163516234315941
0000354950,Consumer Discretionary,2019,0.19574321282259838,0.12906449398936148
0000354950,Consumer Discretionary,2020,0.16691980269331436,0.12123613272628855
0000354950,Consumer Discretionary,2021,0.16344569971295098,0.1337622185434721
0000354950,Consumer Discretionary,2022,0.26991641638378955,0.1948594269042544
0000354950,Consumer Discretionary,2023,0.25370649045346405,0.20381116347787123
0000354950,Consumer Discretionary,2024,0.2387800459469069,0.20120799681290527
0000354950,Consumer Discretionary,2025,,
0000702165,Industrials,2015,0.14298008263310205,0.18732357658380114
0000702165,Industrials,2016,0.14394841417719398,0.1940527751611284
0000702165,Industrials,2017,0.15757828959497944,0.20719373754839682
0000702165,Industrials,2018,0.15172617717974646,0.208643338259314
0000702165,Industrials,2019,0.16489087963404173,0.18931939341101003
0000702165,Industrials,2020,0.15577178950303758,0.1804938096153685
0000702165,Industrials,2021,0.12839029537269805,0.20617754745064806
0000702165,Industrials,2022,0.19342604454969106,0.28111112978657266
0000702165,Industrials,2023,0.21097822364851498,0.25997128358250393
0000702165,Industrials,2024,0.17593984962406012,0.2794203488313915
0000702165,Industrials,2025,,
0000707549,Information Technology,2015,0.026189410824314367,0.15318540121743232
0000707549,Information Technology,2016,0.021669814662770636,0.12986668762806483
0000707549,Information Technology,2017,0.02894918396032015,0.17306260345355667
0000707549,Information Technology,2018,0.026637201416016255,0.16032477554055896
0000707549,Information Technology,2019,0.03208985381830421,0.15408177315064556
0000707549,Information Technology,2020,0.02785388600089923,0.13779683794288267
0000707549,Information Technology,2021,0.034238635264001074,0.16588632155273686
0000707549,Information Technology,2022,0.05788076230439768,0.2083147996232723
0000707549,Information Technology,2023,0.06028110992387957,0.21556744053152405
0000707549,Information Technology,2024,0.060605216937966916,0.22962119704599496
0000707549,Information Technology,2025,,
0000711404,Health Care,2015,0.013619894528957885,0.20021281734224816
0000711404,Health Care,2016,0.012353702266089978,0.18972458372280926
0000711404,Health Care,2017,0.01184347246153206,0.21586989270900084
0000711404,Health Care,2018,0.011621143230394345,0.21026027710382167
0000711404,Health Care,2019,0.015026283405275748,0.20380953983738495
0000711404,Health Care,2020,0.01084839456841607,0.21037909207100067
0000711404,Health Care,2021,0.020383514783593248,0.19089588230036056
0000711404,Health Care,2022,0.022969375581073655,0.25721536968871217
0000711404,Health Care,2023,0.03586539576585263,0.23994321825276424
0000711404,Health Care,2024,0.03827568981401701,0.25642977667024014
0000712515,Communication Services,2015,0.0,0.11131415068157438
0000712515,Communication Services,2016,0.0,0.16046326875366385
0000712515,Communication Services,2017,0.0,0.16271155055779138
0000712515,Communication Services,2018,0.0039911493840449706,0.14367267005879866
0000712515,Communication Services,2019,0.004152599594868332,0.14160664214800864
0000712515,Communication Services,2020,0.003575332577085697,0.13233723067692335
0000712515,Communication Services,2021,0.0029586374695863746,0.13048877582982926
0000712515,Communication Services,2022,0.017396356884987075,0.21760950798295808
0000712515,Communication Services,2023,0.012710391183285706,0.22334402008294713
0000712515,Communication Services,2024,0.011316706248993568,0.20989685067386382
0000712515,Communication Services,2025,,
0000713676,Financials,2015,0.004320814777773355,0.24322121716036832
0000713676,Financials,2016,0.004187811094059088,0.2187792887944868
0000713676,Financials,2017,0.0048183980513717755,0.22118252061026944
0000713676,Financials,2018,0.006135557933122658,0.21564132671570876
0000713676,Financials,2019,0.010819013131233467,0.21320625428474854
0000713676,Financials,2020,0.010874687406192223,0.21366232648774502
0000713676,Financials,2021,0.011029644249790558,0.15883320947754317
0000713676,Financials,2022,0.04656786535675453,0.23270516368476651
0000713676,Financials,2023,0.05525855465514473,0.2437479009473683
0000713676,Financials,2024,0.05589549402530023,0.24017086370419297
0000713676,Financials,2025,,
0000715957,Utilities,2017,0.2432295401901238,0.13506284581708675
0000715957,Utilities,2018,0.24690760198656095,0.10877316607576014
0000715957,Utilities,2019,0.27381512886565496,0.11766464964637321
0000715957,Utilities,2020,0.30427382183904284,0.12900500995584457
0000715957,Utilities,2021,0.3624444648236066,0.13179652503932787
0000715957,Utilities,2022,0.49906321093939565,0.13566676978601283
0000715957,Utilities,2023,0.5245282156530364,0.1459117824399066
0000715957,Utilities,2024,0.5341250881458327,0.14200909349246946
0000715957,Utilities,2025,,
